Blog,Recipe,Link,Time,Ingredients
Two peas and their pod,Roasted Carrots,https://www.twopeasandtheirpod.com/roasted-carrots/,10 mins,"['carrots,', 'olive oil', 'garlic powder,', 'kosher salt and freshly ground black pepper,', 'optional garnish: 2 teaspoons chopped fresh dill or fresh thyme']"
Two peas and their pod,Spinach Quiche,https://www.twopeasandtheirpod.com/spinach-quiche/,15 mins,"['frozen deep dish pie crust', 'olive oil or butter', 'chopped yellow onion', 'garlic cloves,', 'half and half', 'large eggs', 'large egg yolk', 'kosher salt', 'black pepper', 'crushed red pepper', 'frozen chopped spinach,', 'shredded gruyere cheese']"
Two peas and their pod,Deviled Eggs,https://www.twopeasandtheirpod.com/deviled-eggs/,20 mins,"['large eggs', 'mayonnaise', 'dijon mustard', 'vinegar,', 'kosher salt and black pepper,', 'paprika,']"
Two peas and their pod,Coffee Cake,https://www.twopeasandtheirpod.com/coffee-cake/,20 mins,"['all-purpose flour', 'brown sugar,', 'kosher salt', 'ground cinnamon', 'unsalted butter,', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'unsalted butter,', 'granulated sugar', 'large eggs,', 'sour cream,', 'vanilla extract', 'confectioners’ sugar', 'milk or heavy cream', 'pure vanilla extract']"
Two peas and their pod,Roasted Asparagus,https://www.twopeasandtheirpod.com/roasted-asparagus-with-balsamic-vinegar-recipe/,5 mins,"['asparagus spears', 'olive oil', 'kosher salt and black pepper,', 'optional seasonings and/or garnishes: balsamic vinegar,']"
Two peas and their pod,Homemade Fish Sticks,https://www.twopeasandtheirpod.com/homemade-fish-sticks/,20 mins,"['mayonnaise', 'finely chopped kosher dill pickles', 'finely chopped sweet pickles', 'dijon mustard', 'chopped capers', 'fresh lemon juice', 'kosher salt and black pepper,', 'fresh or thawed cod,', 'large eggs', 'panko', 'garlic powder', 'onion powder', 'paprika', 'zest of one lemon']"
Two peas and their pod,Salted Malted Crispy Chocolate Chip Cookies,https://www.twopeasandtheirpod.com/salted-malted-crispy-chocolate-chip-cookies/,1 hr,"['all-purpose flour', 'malted milk powder', 'baking soda', 'baking powder', 'sea salt', 'unsalted butter,', 'granulated sugar', 'light brown sugar,', 'large eggs,', 'pure vanilla extract', 'semi-sweet chocolate chips', 'semi-sweet chocolate chunks', 'flaky sea salt,']"
Two peas and their pod,Best Guacamole,https://www.twopeasandtheirpod.com/best-guacamole/,10 mins,"['medium ripe hass avocados', 'diced red onion', 'small jalapeno,', 'chopped cilantro', 'large lime,', 'kosher salt', 'black pepper']"
Two peas and their pod,Asparagus Chickpea Quinoa Salad,https://www.twopeasandtheirpod.com/asparagus-chickpea-quinoa-salad/,10 mins,"['freshly squeezed lemon juice', 'extra virgin olive oil', 'dijon mustard', 'garlic,', 'kosher salt and black pepper,', 'water', 'quinoa', 'salt', 'olive oil', 'small bunch asparagus,', 'fresh lemon juice', 'chickpeas, rinsed and drained,', 'green onions,', 'crumbled feta cheese', 'salt and freshly ground black pepper,']"
Two peas and their pod,Favorite Veggie Pizza,https://www.twopeasandtheirpod.com/best-veggie-pizza/,25 mins,"['pizza dough', 'pizza sauce', 'olive oil', 'cremini mushrooms,', 'garlic,', 'kosher salt and black pepper', 'shredded low-moisture part-skim mozzarella cheese', 'jarred or canned artichoke hearts,', 'jarred roasted red bell peppers,', 'red onion,', 'sliced black olives', 'garnish: fresh basil leaves,']"
Two peas and their pod,Easy Pizza Sauce,https://www.twopeasandtheirpod.com/easy-pizza-sauce/,5 mins,"['olive oil', 'garlic', 'fennel seed', 'crushed tomatoes', 'tomato paste', 'dried basil', 'dried oregano', 'salt', 'crushed red pepper']"
Two peas and their pod,Easy Pizza Dough,https://www.twopeasandtheirpod.com/easy-pizza-dough/,2 hrs,"['bread flour or all-purpose flour', 'instant yeast', 'kosher salt', 'lukewarm water', 'extra-virgin olive oil,']"
Two peas and their pod,Slow Cooker French Dip Sandwich,https://www.twopeasandtheirpod.com/slow-cooker-french-dip-sandwich/,10 mins,"['olive oil', 'kosher salt and black pepper,', 'beef chuck roast,', 'beef broth', 'can beef consommé', 'large yellow or white onion,', 'worcestershire sauce', 'dried rosemary', 'dried thyme', 'garlic powder', 'bay leaf', 'kosher salt', 'ground black pepper', 'softened butter,', 'hoagie rolls or french rolls', 'provolone cheese']"
Two peas and their pod,Cacio e Pepe,https://www.twopeasandtheirpod.com/cacio-e-pepe/,5 mins,"['kosher salt', 'bucatini pasta', 'unsalted butter', 'freshly ground black pepper', 'freshly grated parmesan cheese', 'freshly grated pecorino romano cheese', 'extra grated cheese']"
Two peas and their pod,Baked Ziti,https://www.twopeasandtheirpod.com/baked-ziti/,10 mins,"['ziti or penne pasta', 'olive oil,', 'italian sausage', 'marinara sauce', 'ricotta cheese', 'large egg', 'mozzarella cheese,', 'shredded parmesan cheese,', 'chopped fresh basil', 'italian seasoning', 'dash of crushed red pepper flakes,', 'kosher salt and black pepper,', 'for garnish: chopped basil,']"
Two peas and their pod,Easy Marinara Sauce,https://www.twopeasandtheirpod.com/easy-marinara-sauce/,10 mins,"['olive oil', 'onion,', 'carrot,', 'celery stalk,', 'garlic,', 'of fennel seed', 'crushed red pepper', 'bay leaf', 'cans crushed tomatoes', 'freshly chopped basil', 'dried oregano', 'salt and black pepper,', 'sugar,']"
Two peas and their pod,Lemon Broccoli Tortellini,https://www.twopeasandtheirpod.com/lemon-broccoli-tortellini/,10 mins,"['broccoli,', 'olive oil', 'fresh lemon juice', 'garlic,', 'salt and black pepper,', 'cheese tortellini,', 'unsalted butter', 'minced shallot', 'garlic,', 'dash of crushed red pepper', 'packed fresh spinach', 'zest of 1 large lemon', 'juice of 1 large lemon', 'freshly grated parmesan cheese', 'salt and black pepper,']"
Two peas and their pod,Easy Tostadas,https://www.twopeasandtheirpod.com/easy-tostadas/,20 mins,"['corn tortillas', 'avocado oil or olive oil,', 'kosher salt,', 'refried beans,', 'guacamole', 'shredded cheddar or mexican blend cheese', 'shredded rotisserie chicken', 'shredded lettuce', 'pico de gallo,', 'salsa', 'sour cream or plain greek yogurt', 'queso fresco', 'cilantro', 'jalapeño slices', 'creamy cilantro lime dressing,', 'hot sauce,']"
Two peas and their pod,Crispy Hash Browns,https://www.twopeasandtheirpod.com/crispy-hash-browns/,10 mins,"['russet potatoes,', 'cooking oil', 'kosher salt and freshly ground black pepper,']"
Two peas and their pod,Vegetable Frittata,https://www.twopeasandtheirpod.com/vegetable-frittata/,10 mins,"['large eggs', 'whole milk or half-and-half', 'kosher salt and freshly ground black pepper,', 'shredded mozzarella cheese or gruyere cheese', 'olive oil', 'yellow onion,', 'sliced cremini mushrooms', 'red bell pepper,', 'small zucchini,', 'fresh spinach leaves', 'garlic,', 'halved grape tomatoes', 'freshly grated parmesan cheese', 'freshly chopped basil']"
Two peas and their pod,Lasagna Soup,https://www.twopeasandtheirpod.com/lasagna-soup/,15 mins,"['italian sausage', 'olive oil', 'onion,', 'carrot,', 'celery rib,', 'red bell pepper,', 'garlic,', 'tomato paste', 'bay leaves', 'ground oregano', 'dried basil', 'dried thyme', 'crushed red pepper flakes', 'chicken broth', 'diced tomatoes', 'marinara sauce', 'kosher salt and black pepper,', 'lasagna noodles,', 'ricotta cheese', 'shredded mozzarella cheese', 'shredded parmesan cheese', 'chopped fresh basil']"
Two peas and their pod,Homemade Granola Bars,https://www.twopeasandtheirpod.com/homemade-granola-bars/,15 mins,"['coconut oil', 'creamy peanut butter', 'honey', 'pure vanilla extract', 'quick oats', 'crispy rice cereal', 'coconut flakes', 'flaxseed meal', 'chia seeds', 'sea salt or kosher salt', 'mini chocolate chips']"
Two peas and their pod,Easy White Bean Skillet,https://www.twopeasandtheirpod.com/easy-white-bean-skillet/,5 mins,"['olive oil', 'onion,', 'garlic,', 'roasted red bell peppers,', 'fire roasted diced tomatoes', 'dried basil', 'dried thyme', 'dried rosemary', 'dried oregano', 'crushed red pepper flakes,', 'white beans,', 'roughly chopped kale or spinach', 'balsamic vinegar', 'kosher salt and black pepper,', 'fresh basil and parmesan cheese,', 'crusty bread,']"
