Blog,Recipe,Link,Time,Ingredients
Oh sweet basil,Old Time Beef Stew for Your Man,https://ohsweetbasil.com/instant-pot-beef-stew/,2 hours 45 minutes,"['butter', 'beef chuck', ' onion', 'pearl onions', ' garlic', ' water', 'salt', 'lemon juice', 'sugar', 'worcestershire sauce', 'pepper', 'paprika', 'bay leaves', ' allspice', 'carrots', ' potatoes', ' water', 'flour', 'fresh parsley for garnishing']"
Oh sweet basil,Fettuccine Alfredo-,https://ohsweetbasil.com/fettuccine-alfredo-sauce-recipe/,30 minutes,"['parmesan cheese', 'kosher salt', 'fettuccine', 'butter', 'garlic', 'dijon mustard', 'cream cheese', 'heavy cream', 'milk', ' parmigiano reggiano', 'salt', 'pepper', 'lemon juice', 'parsley']"
Oh sweet basil,Spaghetti Pie,https://ohsweetbasil.com/baked-spaghetti-pie-recipe/,45 minutes,"['spaghetti', 'butter', 'shredded parmesan cheese', 'eggs', 'cottage cheese', 'spaghetti sauce', 'mozzarella cheese']"
Oh sweet basil,Plant Based Vegan Bolognese Sauce,https://ohsweetbasil.com/plant-based-vegan-bolognese-sauce-recipe/,2 hours 45 minutes,"['olive oil', 'kosher salt', 'onion', 'garlic', 'carrots', 'celery', 'cremini', 'chickpeas', 'tomatoes', 'tomato sauce', 'tomatoes', 'almond milk', 'cooking wine\xa0', 'lemon', 'lemon juice', 'nutmeg', 'bay leaves', 'salt and pepper to taste', 'parmesan cheese\xa0for serving']"
Oh sweet basil,Keto Pizza with Spaghetti Squash Crust,https://ohsweetbasil.com/keto-pizza-with-spaghetti-squash-crust-recipe/,1 hour 30 minutes,"['spaghetti squash', 'eggs', 'mozzarella cheese', 'parmesan cheese', 'garlic powder', 'italian seasoning', 'salt', '\xa0mozzarella cheese', 'pizza sauce', 'toppings']"
Oh sweet basil,Vegan Bliss Energy Bites,https://ohsweetbasil.com/vegan-bliss-energy-bites-recipe/,5 minutes,"['cashews', 'raisins', 'pro plant collagen powder', 'super greens mix', 'cashews ', 'craisins', 'chocolate powder', 'plant protein', 'forever beautiful']"
Oh sweet basil,Black Eyed Peas for New Years Recipe,https://ohsweetbasil.com/black-eyed-peas-recipe-for-new-years/,10 hours 15 minutes,"['black eyed peas', 'oil', 'pork shoulder', 'butter', 'bacon', 'onion', 'celery', 'garlic', 'salt', 'pepper', 'garlic powder', 'smoked paprika', 'balsamic vinegar', 'chicken stock', 'water', 'bay leaves', 'collard greens']"
Oh sweet basil,Plant Based Vegan Burrito Bowls,https://ohsweetbasil.com/plant-based-vegan-burrito-bowls-recipe/,50 minutes,"['sweet potato', 'olive oil', 'kosher salt', 'smoked paprika', 'black pepper', 'garlic powder', 'red onion', 'zucchini', 'corn', 'brown rice', 'quinoa', 'avocado', 'tomato', 'cilantro and red pepper flakes for garnish', 'black beans', 'water', 'coriander', 'garlic powder', 'avocado', 'cilantro', 'limes']"
Oh sweet basil,Royal Icing Recipe,https://ohsweetbasil.com/royal-icing-for-christmas-sugar-cookies-recipe/,30 minutes,"['powdered sugar', 'egg whites', 'cream of tartar', 'vanilla extract', 'almond extract', 'salt', 'water', 'food gel coloring of choice']"
Oh sweet basil,White Chocolate Peanut Butter Crackers,https://ohsweetbasil.com/white-chocolate-peanut-butter-crackers/,10 minutes,"['ritz crackers', 'creamy peanut butter', 'white almond bark']"
