Blog,Recipe,Link,Time,Ingredients
Pinch of Yum,30 Minute Spicy Ancho Turkey Chili,https://pinchofyum.com/30-minute-spicy-ancho-turkey-chili,40 minutes,"['farro', 'chicken broth', 'water', 'olive oil', 'red onion', 'garlic', 'jalapeños', 'ground turkey', 'black beans', 'ancho chili powder', 'chili powder', 'cumin', 'salt', 'salsa', 'crushed fire roasted tomatoes', 'sour cream, cheese, green onions, tortilla chips']"
Pinch of Yum,Spicy Sausage Rigatoni,https://pinchofyum.com/spicy-sausage-rigatoni,40 minutes,"['butter', 'garlic', 'yellow onion', 'celery', 'carrots', 'spicy italian sausage', 'dried oregano', 'red pepper flakes', 'salt', 'black pepper', 'red wine', 'san marzano tomatoes', 'balsamic or italian dressing', 'rigatoni', 'butter', 'parmesan', 'basil']"
Pinch of Yum,Garlic Butter White Wine Shrimp Linguine,https://pinchofyum.com/garlic-butter-white-wine-shrimp-linguine,30 minutes,"['butter', 'garlic', 'chicken or vegetable broth', 'water', 'linguine', 'jumbo raw shrimp', 'dry white wine', 'fresh sage', 'heavy whipping cream', 'parmesan cheese', 'fresh parsley', 'lemon', 'salt', 'pepper']"
Pinch of Yum,Basic + Awesome Vegetarian Lasagna,https://pinchofyum.com/basic-awesome-vegetarian-lasagna,1 hour 5 minutes,"['easy vegetarian “bolognese”:', 'garlic', 'onion', 'carrots', 'fresh mushrooms', 'walnuts', 'zucchini', 'butter', 'olive oil', 'oregano', 'italian seasoning', 'kosher salt', 'black pepper', 'tomato sauce', 'creamy layer:', 'mascarpone', 'garlic', 'salt', 'parmesan cheese', 'mozzarella cheese', 'lasagna noodles']"
Pinch of Yum,15 Minute Cauliflower Fried Rice,https://pinchofyum.com/15-minute-cauliflower-fried-rice,15 minutes,"['cauliflower', 'sesame oil', 'carrot', 'garlic cloves', 'frozen edamame', 'eggs', 'low sodium soy sauce', 'green onions']"
Pinch of Yum,5-Minute Spicy Chickpea Salad,https://pinchofyum.com/5-minute-spicy-chickpea-salad,5 minutes,"['chickpea salad:', 'chickpeas', 'mayo', 'sriracha', 'lemon juice', 'salt', 'pepper', 'for serving:', 'toast', 'crackers', 'avocado', 'greens', 'everything bagel seasoning']"
Pinch of Yum,Plantain and Pinto Stew with Aji Verde,https://pinchofyum.com/plantain-and-pinto-stew-with-aji-verde,45 minutes,"['for the stew:', 'white onion', 'garlic', 'bell pepper', 'olive oil', 'ground cumin', 'chili powder', 'smoked paprika', 'fire-roasted diced or crushed tomatoes', 'vegetable broth', 'kosher salt', 'plantains', 'pinto beans', 'kale', 'cilantro', 'for the aji verde:', 'olive oil', 'mayonnaise', 'queso fresco', 'jalapeño peppers', 'cilantro', 'cloves', 'lime', 'salt']"
Pinch of Yum,Maple Quinoa Granola,https://pinchofyum.com/maple-quinoa-granola,50 minutes,"['old-fashioned oats', 'uncooked quinoa', 'raw nuts', 'unsweetened shredded coconut', 'chia seeds', 'ground cinnamon', 'kosher salt', 'pure maple syrup', 'coconut oil', 'canola oil', 'unsulphured molasses', 'pure vanilla extract', 'egg white', 'chocolate chips, dried fruit (such as cranberries, apricots, cherries, raisins, or figs)']"
Pinch of Yum,Portobello French Dip with Horseradish Aioli,https://pinchofyum.com/portobello-french-dip-with-horseradish-aioli,45 minutes,"['roasted mushrooms', 'portobello mushroom caps', 'olive oil', 'montreal steak seasoning', 'caramelized onions and au jus', 'butter', 'onion', 'white wine', 'worcestershire', 'soy sauce', 'beef', 'vegetable broth', 'salt', 'pepper', 'sugar', 'horseradish aioli', 'mayo', 'horseradish', 'garlic', 'salt', 'french dip essentials', 'sourdough rolls', 'baguette', 'provolone cheese slices']"
Pinch of Yum,Crunchy Roll Bowls,https://pinchofyum.com/crunchy-roll-bowls,30 minutes,"['extra firm tofu', 'rice', 'frozen shelled edamame', 'cucumber', 'avocado', 'jalapeño', 'neutral oil', 'teriyaki or savory-sweet asian-inspired sauce', 'crunchy fried onions', 'spicy mayo']"
Pinch of Yum,Creamy Kale Pasta,https://pinchofyum.com/creamy-kale-pasta-2,30 minutes,"['for the sauce:', 'pine nuts', 'packed parsley', 'packed basil', 'capers or pitted olives', 'salt', 'black pepper', 'lemon', 'olive oil', 'farfalle', 'butter or vegan butter', 'garlic', 'kale', 'white wine', 'lemon juice', 'red pepper flakes', 'parmesan']"
